Ship Update,Planets Update,Enemies Update,Particles Update,Total Update,Draw Planets,Draw Enemies,Draw Particles,Total Draw
0.000410923,0.00369831,0.000410923,0.000410923,0.0304083,0.0365722,0.00246554,0.000410923,5.48418
0.00164369,0.0139714,0.00123277,0.00123277,0.0542419,0.0378049,0.00246554,0.000410923,5.30338
0.00123277,0.00616385,0.000821847,0.000410923,0.0357503,0.0390377,0.00246554,0.000410923,5.42337
0.00164369,0.0139714,0.000821847,0.00123277,0.0513654,0.0460234,0.00452016,0.000410923,5.59061
0.00164369,0.0135605,0.000821847,0.00123277,0.05342,0.0382159,0.00246554,0.000410923,5.31077
0.00123277,0.0143823,0.00123277,0.00123277,0.05342,0.0431469,0.00205462,0.000821847,5.16202
0.000821847,0.00616385,0.000410923,0.000821847,0.0295865,0.0378049,0.00246554,0.000410923,5.26516
0.000410923,0.00369831,0.000410923,0,0.0152042,0.0460234,0.00328739,0.000410923,5.56472
0.00123277,0.0143823,0.000821847,0.00123277,0.0542419,0.037394,0.00246554,0.000410923,5.52158
0.00164369,0.0143823,0.000821847,0.000821847,0.0562965,0.0382159,0.00287646,0.000410923,5.32516
0.00123277,0.0143823,0.000821847,0.000821847,0.0542419,0.0353394,0.00205462,0.000821847,5.16859
0.000821847,0.00493108,0.000821847,0.000410923,0.0279428,0.0361613,0.00246554,0.000410923,5.37118
0.00164369,0.0139714,0.000821847,0.000821847,0.0505436,0.0386268,0.00369831,0.000821847,5.64444
0.00123277,0.0147932,0.00123277,0.00123277,0.0517763,0.0353394,0.00246554,0.000410923,5.53062
0.00164369,0.0143823,0.00123277,0.00123277,0.0542419,0.0378049,0.00246554,0.000410923,5.31817
0.00164369,0.0139714,0.00123277,0.000821847,0.053831,0.037394,0.00246554,0.000410923,5.24831
0.000821847,0.00452016,0.000410923,0.000410923,0.0217789,0.0357503,0.00205462,0.000821847,5.28735
0.00123277,0.0139714,0.000821847,0.000821847,0.0501326,0.0410923,0.00287646,0.000821847,5.75169
0.00123277,0.0131495,0.00123277,0.00123277,0.0517763,0.0353394,0.00205462,0.000410923,5.33337
0.00123277,0.0143823,0.00123277,0.000821847,0.0542419,0.0378049,0.00246554,0.000821847,5.36214
0.00164369,0.0143823,0.00123277,0.00123277,0.0542419,0.0353394,0.00205462,0.000410923,5.31036
0.000410923,0.00410923,0.000821847,0.000410923,0.0180806,0.0390377,0.00246554,0.000410923,5.58527
0.00123277,0.0135605,0.00123277,0.00123277,0.0517763,0.0357503,0.00287646,0.000410923,5.42747
0.00164369,0.0143823,0.00123277,0.00123277,0.0546528,0.0361613,0.00246554,0.000821847,5.15298
0.00123277,0.0143823,0.000821847,0.000821847,0.0546528,0.0382159,0.00246554,0.000410923,5.38679
0.000821847,0.00493108,0.000410923,0.000410923,0.0308193,0.0361613,0.00246554,0,5.21708
0.00123277,0.0139714,0.000821847,0.000821847,0.0505436,0.0382159,0.00246554,0.000410923,5.7069
0.00164369,0.0139714,0.00123277,0.00123277,0.0530091,0.0361613,0.00246554,0.000410923,5.20886
0.00123277,0.0139714,0.00123277,0.00123277,0.0554746,0.037394,0.00205462,0.000410923,5.33502
0.00123277,0.0143823,0.00123277,0.00123277,0.0632822,0.0390377,0.00246554,0.00123277,5.56267
0.000821847,0.00452016,0.000821847,0.00123277,0.0349285,0.0423251,0.00246554,0.000410923,6.14659
0.000410923,0.00410923,0.000821847,0.000410923,0.0201352,0.0394486,0.00246554,0.000410923,6.02537
0.000410923,0.00410923,0.000821847,0.000410923,0.0205462,0.0390377,0.00287646,0.000821847,5.89922
0.000410923,0.00369831,0.000410923,0.000410923,0.021368,0.0398596,0.00246554,0.000410923,5.67115
0.00123277,0.00410923,0.000821847,0.000821847,0.0324629,0.069446,0.00410923,0.000821847,6.87927
0.000410923,0.00369831,0.000410923,0.000821847,0.0193134,0.0756099,0.00575293,0.000821847,8.32407
